unit,tra_meas,airp_pr\time	2018Q2 	2018Q1 	2018M06 	2018M05 	2018M04 	2018M03 	2018M02 	2018M01 
PAS,PAS_BRD,MK_LWSK_AT_LOWW	30592 	19360 	11272 	10635 	8685 	8113 	5528 	5719 
PAS,PAS_BRD,MK_LWSK_BE_EBCI	13085 	9580 	4309 	4676 	4100 	3338 	2634 	3608 
PAS,PAS_BRD,MK_LWSK_CH_LSZH	46913 	35837 	12167 	14239 	20507 	12955 	10604 	12278 
PAS,PAS_BRD,MK_LWSK_DE_EDDB	13567 	9542 	4913 	4307 	4347 	3365 	2799 	3378 
PAS,PAS_BRD,MK_LWSK_DE_EDDK	13759 	13193 	5099 	4469 	4191 	4453 	4063 	4677 
PAS,PAS_BRD,MK_LWSK_DE_EDFH	14435 	8959 	5575 	4778 	4082 	3002 	2623 	3334 
PAS,PAS_BRD,MK_LWSK_DE_EDJA	14652 	12835 	5541 	4919 	4192 	4554 	4012 	4269 
PAS,PAS_BRD,MK_LWSK_DE_EDLW	13490 	13026 	4545 	4792 	4153 	4644 	4026 	4356 
PAS,PAS_BRD,MK_LWSK_FR_LFSB	30509 	26705 	9775 	10412 	10322 	9428 	7846 	9431 
PAS,PAS_BRD,MK_LWSK_HR_LDZA	18901 	11097 	6698 	6700 	5503 	4146 	3541 	3410 
PAS,PAS_BRD,MK_LWSK_HU_LHBP	11008 	9286 	3599 	3984 	3425 	3786 	2963 	2537 
PAS,PAS_BRD,MK_LWSK_SE_ESGG	14593 	13029 	4765 	4440 	5388 	4814 	3864 	4351 
PAS,PAS_BRD,MK_LWSK_SE_ESMS	24332 	20522 	9172 	6713 	8447 	7244 	6278 	7000 
PAS,PAS_BRD,MK_LWSK_SI_LJLJ	12891 	10069 	3862 	4785 	4244 	4198 	2992 	2879 
PAS,PAS_BRD,MK_LWSK_SK_LZIB	17609 	16191 	6064 	5951 	5594 	5553 	5050 	5588 
PAS,PAS_BRD,MK_LWSK_TR_LTBA	42715 	36233 	13823 	14907 	13985 	13032 	11379 	11822 
PAS,PAS_BRD,MK_LWSK_TR_LTFJ	16289 	12244 	5190 	5601 	5498 	4347 	3700 	4197 
PAS,PAS_BRD,MK_LWSK_UK_EGGW	19178 	13319 	6569 	6026 	6583 	4867 	3920 	4532 
PAS,PAS_BRD_ARR,MK_LWSK_AT_LOWW	16896 	9597 	6540 	5692 	4664 	4322 	2733 	2542 
PAS,PAS_BRD_ARR,MK_LWSK_BE_EBCI	6679 	4745 	2268 	2347 	2064 	1691 	1316 	1738 
PAS,PAS_BRD_ARR,MK_LWSK_CH_LSZH	22394 	17577 	5805 	6323 	10266 	6800 	5247 	5530 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDDB	6743 	4665 	2487 	2099 	2157 	1706 	1294 	1665 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDDK	6944 	6622 	2615 	2242 	2087 	2287 	2038 	2297 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDFH	7243 	4458 	2854 	2372 	2017 	1534 	1304 	1620 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDJA	7299 	6219 	2779 	2428 	2092 	2224 	1989 	2006 
PAS,PAS_BRD_ARR,MK_LWSK_DE_EDLW	6791 	6449 	2327 	2410 	2054 	2287 	2022 	2140 
PAS,PAS_BRD_ARR,MK_LWSK_FR_LFSB	15136 	13137 	4881 	5040 	5215 	4874 	3979 	4284 
PAS,PAS_BRD_ARR,MK_LWSK_HR_LDZA	9734 	5598 	3500 	3505 	2729 	2150 	1807 	1641 
PAS,PAS_BRD_ARR,MK_LWSK_HU_LHBP	5490 	4617 	1898 	1931 	1661 	1957 	1453 	1207 
PAS,PAS_BRD_ARR,MK_LWSK_SE_ESGG	7833 	6428 	2957 	2191 	2685 	2454 	1965 	2009 
PAS,PAS_BRD_ARR,MK_LWSK_SE_ESMS	13272 	10132 	5884 	3261 	4127 	3763 	3144 	3225 
PAS,PAS_BRD_ARR,MK_LWSK_SI_LJLJ	6509 	4965 	2063 	2322 	2124 	2228 	1473 	1264 
PAS,PAS_BRD_ARR,MK_LWSK_SK_LZIB	8697 	8053 	3011 	2913 	2773 	2808 	2524 	2721 
PAS,PAS_BRD_ARR,MK_LWSK_TR_LTBA	21820 	17839 	7376 	7392 	7052 	6566 	5567 	5706 
PAS,PAS_BRD_ARR,MK_LWSK_TR_LTFJ	8430 	6383 	2691 	2791 	2948 	2275 	1909 	2199 
PAS,PAS_BRD_ARR,MK_LWSK_UK_EGGW	9677 	6475 	3472 	3019 	3186 	2540 	1923 	2012 
PAS,PAS_BRD_DEP,MK_LWSK_AT_LOWW	13696 	9763 	4732 	4943 	4021 	3791 	2795 	3177 
PAS,PAS_BRD_DEP,MK_LWSK_BE_EBCI	6406 	4835 	2041 	2329 	2036 	1647 	1318 	1870 
PAS,PAS_BRD_DEP,MK_LWSK_CH_LSZH	24519 	18260 	6362 	7916 	10241 	6155 	5357 	6748 
PAS,PAS_BRD_DEP,MK_LWSK_DE_EDDB	6824 	4877 	2426 	2208 	2190 	1659 	1505 	1713 
PAS,PAS_BRD_DEP,MK_LWSK_DE_EDDK	6815 	6571 	2484 	2227 	2104 	2166 	2025 	2380 
PAS,PAS_BRD_DEP,MK_LWSK_DE_EDFH	7192 	4501 	2721 	2406 	2065 	1468 	1319 	1714 
PAS,PAS_BRD_DEP,MK_LWSK_DE_EDJA	7353 	6616 	2762 	2491 	2100 	2330 	2023 	2263 
PAS,PAS_BRD_DEP,MK_LWSK_DE_EDLW	6699 	6577 	2218 	2382 	2099 	2357 	2004 	2216 
PAS,PAS_BRD_DEP,MK_LWSK_FR_LFSB	15373 	13568 	4894 	5372 	5107 	4554 	3867 	5147 
PAS,PAS_BRD_DEP,MK_LWSK_HR_LDZA	9167 	5499 	3198 	3195 	2774 	1996 	1734 	1769 
PAS,PAS_BRD_DEP,MK_LWSK_HU_LHBP	5518 	4669 	1701 	2053 	1764 	1829 	1510 	1330 
PAS,PAS_BRD_DEP,MK_LWSK_SE_ESGG	6760 	6601 	1808 	2249 	2703 	2360 	1899 	2342 
PAS,PAS_BRD_DEP,MK_LWSK_SE_ESMS	11060 	10390 	3288 	3452 	4320 	3481 	3134 	3775 
PAS,PAS_BRD_DEP,MK_LWSK_SI_LJLJ	6382 	5104 	1799 	2463 	2120 	1970 	1519 	1615 
PAS,PAS_BRD_DEP,MK_LWSK_SK_LZIB	8912 	8138 	3053 	3038 	2821 	2745 	2526 	2867 
PAS,PAS_BRD_DEP,MK_LWSK_TR_LTBA	20895 	18394 	6447 	7515 	6933 	6466 	5812 	6116 
PAS,PAS_BRD_DEP,MK_LWSK_TR_LTFJ	7859 	5861 	2499 	2810 	2550 	2072 	1791 	1998 
PAS,PAS_BRD_DEP,MK_LWSK_UK_EGGW	9501 	6844 	3097 	3007 	3397 	2327 	1997 	2520 
PAS,PAS_CRD,MK_LWSK_AT_LOWW	30592 	19360 	11272 	10635 	8685 	8113 	5528 	5719 
PAS,PAS_CRD,MK_LWSK_BE_EBCI	13085 	9580 	4309 	4676 	4100 	3338 	2634 	3608 
PAS,PAS_CRD,MK_LWSK_CH_LSZH	46913 	35837 	12167 	14239 	20507 	12955 	10604 	12278 
PAS,PAS_CRD,MK_LWSK_DE_EDDB	13567 	9542 	4913 	4307 	4347 	3365 	2799 	3378 
PAS,PAS_CRD,MK_LWSK_DE_EDDK	13759 	13193 	5099 	4469 	4191 	4453 	4063 	4677 
PAS,PAS_CRD,MK_LWSK_DE_EDFH	14435 	8959 	5575 	4778 	4082 	3002 	2623 	3334 
PAS,PAS_CRD,MK_LWSK_DE_EDJA	14652 	12835 	5541 	4919 	4192 	4554 	4012 	4269 
PAS,PAS_CRD,MK_LWSK_DE_EDLW	13490 	13026 	4545 	4792 	4153 	4644 	4026 	4356 
PAS,PAS_CRD,MK_LWSK_FR_LFSB	30509 	26705 	9775 	10412 	10322 	9428 	7846 	9431 
PAS,PAS_CRD,MK_LWSK_HR_LDZA	18901 	11097 	6698 	6700 	5503 	4146 	3541 	3410 
PAS,PAS_CRD,MK_LWSK_HU_LHBP	11008 	9286 	3599 	3984 	3425 	3786 	2963 	2537 
PAS,PAS_CRD,MK_LWSK_SE_ESGG	14593 	13029 	4765 	4440 	5388 	4814 	3864 	4351 
PAS,PAS_CRD,MK_LWSK_SE_ESMS	24332 	20522 	9172 	6713 	8447 	7244 	6278 	7000 
PAS,PAS_CRD,MK_LWSK_SI_LJLJ	12891 	10069 	3862 	4785 	4244 	4198 	2992 	2879 
PAS,PAS_CRD,MK_LWSK_SK_LZIB	17609 	16191 	6064 	5951 	5594 	5553 	5050 	5588 
PAS,PAS_CRD,MK_LWSK_TR_LTBA	42715 	36233 	13823 	14907 	13985 	13032 	11379 	11822 
PAS,PAS_CRD,MK_LWSK_TR_LTFJ	16289 	12244 	5190 	5601 	5498 	4347 	3700 	4197 
PAS,PAS_CRD,MK_LWSK_UK_EGGW	19178 	13319 	6569 	6026 	6583 	4867 	3920 	4532 
PAS,PAS_CRD_ARR,MK_LWSK_AT_LOWW	16896 	9597 	6540 	5692 	4664 	4322 	2733 	2542 
